墨	土	ボク [外] モク	すみ	すみ。字じや絵えをかくときに用もちいるすみ。; 書画しょが。すみでかいた物もの。; 黒くろい。黒くろずんでいる。; すみなわ。線せんを引ひくための大工だいく道具どうぐ。; 入いれ墨ずみ。入いれ墨ずみの刑けい。; 「墨家ぼくか（ぼくか・ぼっか）」の略りゃく。; 長ながさの単位たんい。五尺ごしゃく。	常 3級
墳	土	フン	[外] はか	はか。つか。土つちを盛もり上あげた墓はか。; つつみ。土つちを盛もり上あげた堤防ていぼう。; 大おおきい。ふくれて大おおきい。; 古代こだいの書物しょもつの名な。三墳さんぷん。	常 3級
墾	土	コン	[外] ひら.く	ひらく。たがやす。荒地あれちを切きり開ひらく。	常 3級
壁	土	ヘキ	かべ [外] がけ	かべ。家いえの周まわりを囲かこうもの。また、家いえの中なかの部屋へやと部屋へやを仕切しきるもの。; とりで。敵てきの侵入しんにゅうを防ふせぐためかべ。; とりでをつくる。とりでの中なかに立たてこもる。; がけ。かべのように鋭するどい傾斜けいしゃのがけ。; 二十八宿にじゅうはっしゅくの一ひとつ。なまめぼし。	常 4級
壇	土	タン・ダン		土つちを小高こだかく盛もり上あげて築きずいた祭場さいじょう。; 他ほかよりも一段いちだん高たかくした所ところ。; 同おなじ分野ぶんやの専門せんもん家かたちの集団しゅうだん。	常 3級
壊	土	カイ [外] エ	こわ.す・こわ.れる [外] やぶ.る・やぶ.れる	やぶる。こわす。; やぶれる。こわれる。こわれくずれる。	常 4級
壱	士	イチ [外] イツ	[外] ひと.つ	ひとつ。一いち。数かずの名な。; すべて。もっぱら。まったく。ひとえに。; ひとたび。一度いちど。; 契約けいやく書しょや証書しょうしょなどの文書ぶんしょで数字すうじを表あらわすとき、書かき換かえを防ふせぐために「一」の代かわりに用もちいる文字もじ。大字。	常 4級
奇	大	キ	[外] あや.しい・く.し・めずら.しい	めずらしい。くし。普通ふつうの様子ようすではない。変かわっている。; すぐれている。非凡ひぼん。; あやしい。不思議ふしぎ。; くしくも。不思議ふしぎにも。; 思おもいがけない。予想外よそうがい。; 二にで割わり切きれない。奇数きすう。; 不運ふうん。運うんに恵めぐまれない。	常 4級
奉	大	ブ・ホウ	たてまつ.る [外] うけたまわ.る・まつ.る	たてまつる。まつる。捧ささげる。献上けんじょうする。; うけたまわる。たまわる。目上めうえの人ひとから物ものや命令めいれいなどを受うける。; 仕つかえる。尽つくす。; たてまつる。自分じぶんの動作どうさを受うける相手あいてに対たいして敬意けいいを表あらわす言いい方かた。	常 3級
契	大	ケイ [外] キツ・ケツ・セツ	ちぎ.る [外] きざ.む・ちぎ.り・わりふ	ちぎる。固かたく約束やくそくする。; ちぎり。約束やくそく。誓ちかい。; きざむ。きざみこむ。; わりふ。しるし。手形てがた。; 民族みんぞくの名な「契丹きったん」に用もちいられる字じ。; つとめ苦くるしむ。苦くるしみ悩なやむ。; 久ひさしく会あわない。; 人名じんめい。殷いん王朝おうちょうの湯王とうおうの祖先そせんの名な。	常 3級
